Expressão,Escrita,Kana,Romaji,Português,Filter-Grupo,Filter-Nível
其れから,それから,それから,sorekara,"depois disso, então",Conjunção,JLPT N5
其れでは,それでは,それでは,soredewa,"nesse caso, então, bem",Conjunção,JLPT N5
でも,でも,でも,demo,"mas, porém",Conjunção,JLPT N5
然し,しかし,しかし,shikashi,"contudo, entretanto",Conjunção,JLPT N5
然して,そして,そして,soshite,"e então, além disso",Conjunção,JLPT N5
然うして,そうして,そうして,soushite,"desse modo, então",Conjunção,JLPT N5
ええ,ええ,ええ,ee,"sim (informal), certo",Outros,JLPT N5
あのう,あのう,あのう,anou,"bem (...), então (... hesitação)",Outros,JLPT N5
さあ,さあ,さあ,saa,"vamos lá, bem (... incentivo ou hesitação)",Outros,JLPT N5
等,など,など,nado,etc,Outros,JLPT N5
私,私,わたし,watashi,eu,Estrutural,JLPT N5
誰か,誰か,だれか,dareka,alguém,Estrutural,JLPT N5
貴方,あなた,あなた,anata,você,Estrutural,JLPT N5
何方,どなた,どなた,donata,quem (formal),Estrutural,JLPT N5
誰,誰,だれ,dare,quem,Estrutural,JLPT N5
此れ,これ,これ,kore,isto,Estrutural,JLPT N5
其れ,それ,それ,sore,isso,Estrutural,JLPT N5
彼,あれ,あれ,are,aquilo,Estrutural,JLPT N5
何れ,どれ,どれ,dore,qual (de vários),Estrutural,JLPT N5
此の,この,この,kono,este,Estrutural,JLPT N5
其の,その,その,sono,esse,Estrutural,JLPT N5
彼の,あの,あの,ano,aquele,Estrutural,JLPT N5
何の,どの,どの,dono,que (antes de substantivo),Estrutural,JLPT N5
此処,ここ,ここ,koko,aqui,Estrutural,JLPT N5
其処,そこ,そこ,soko,aí,Estrutural,JLPT N5
彼処,あそこ,あそこ,asoko,ali,Estrutural,JLPT N5
何処,どこ,どこ,doko,onde,Estrutural,JLPT N5
向こう,向こう,むこう,mukou,lá (do outro lado),Estrutural,JLPT N5
此方,こちら,こちら,kochira,este lado,Estrutural,JLPT N5
其方,そちら,そちら,sochira,esse lado,Estrutural,JLPT N5
彼方,あちら,あちら,achira,aquele lado,Estrutural,JLPT N5
何方,どちら,どちら,dochira,qual lado,Estrutural,JLPT N5
他,他,ほか,hoka,outro,Estrutural,JLPT N5
何,何,なに,nani,o que,Estrutural,JLPT N5
何時,いつ,いつ,itsu,quando,Estrutural,JLPT N5
幾つ,いくつ,いくつ,ikutsu,quantos (coisas),Estrutural,JLPT N5
幾ら,いくら,いくら,ikura,quanto (preço),Estrutural,JLPT N5
何故,なぜ,なぜ,naze,por que (racional),Estrutural,JLPT N5
如何して,どうして,どうして,doushite,por que (emocional),Estrutural,JLPT N5
来る,来る,くる,kuru,vir,Estrutural,JLPT N5
為る,する,する,suru,fazer,Estrutural,JLPT N5
今,今,いま,ima,agora,Advérbio,JLPT N5
前,前,まえ,mae,"antes, na frente",Advérbio,JLPT N5
後,後,あと,ato,depois,Advérbio,JLPT N5
未だ,まだ,まだ,mada,ainda (não),Advérbio,JLPT N5
もう,もう,もう,mou,"já, mais, de novo",Advérbio,JLPT N5
直ぐに,すぐに,すぐに,suguni,"imediatamente, logo",Advérbio,JLPT N5
初めて,初めて,はじめて,hajimete,primeira vez,Advérbio,JLPT N5
もう一度,もう一度,もういちど,mou ichido,mais uma vez,Advérbio,JLPT N5
一寸,一寸,ちょっと,chotto,um momento,Advérbio,JLPT N5
時々,時々,ときどき,tokidoki,às vezes,Advérbio,JLPT N5
良く,よく,よく,yoku,"bem, frequentemente",Advérbio,JLPT N5
何時も,いつも,いつも,itsumo,sempre,Advérbio,JLPT N5
又,また,また,mata,"de novo, também",Advérbio,JLPT N5
はい,はい,はい,hai,sim,Advérbio,JLPT N5
否,いいえ,いいえ,iie,não,Advérbio,JLPT N5
多分,多分,たぶん,tabun,provavelmente,Advérbio,JLPT N5
どうぞ,どうぞ,どうぞ,douzo,por favor (ao oferecer algo),Advérbio,JLPT N5
どうも,どうも,どうも,doumo,de alguma forma,Advérbio,JLPT N5
より,より,より,yori,"do que (comparativo), a partir de",Advérbio,JLPT N5
同じ,同じ,おなじ,onaji,"igual, mesmo, idêntico",Advérbio,JLPT N5
丁度,ちょうど,ちょうど,choudo,exatamente,Advérbio,JLPT N5
余り,あまり,あまり,amari,não muito (usado com negação),Advérbio,JLPT N5
少し,少し,すこし,sukoshi,um pouco,Advérbio,JLPT N5
結構,結構,けっこう (ていどたかい),kekkou (teido takai),"suficiente, bastante",Advérbio,JLPT N5
沢山,たくさん,たくさん,takusan,bastante,Advérbio,JLPT N5
迚も,とても,とても,totemo,muito,Advérbio,JLPT N5
もっと,もっと,もっと,motto,mais,Advérbio,JLPT N5
近く,近く,ちかく,chikaku,perto (advérbio),Advérbio,JLPT N5
段々,だんだん,だんだん,dandan,gradualmente,Advérbio,JLPT N5
真っ直ぐ,まっすぐ,まっすぐ,massugu,diretamente,Advérbio,JLPT N5
ゆっくり,ゆっくり,ゆっくり,yukkuri,"devagar, com calma",Advérbio,JLPT N5
好き,好き,すき,suki,gostar,Adjetivo,JLPT N5
大好き,大好き,だいすき,daisuki,"adorar, amar",Adjetivo,JLPT N5
嫌い,嫌い,きらい,kirai,"não gostar, odiar",Adjetivo,JLPT N5
嫌,嫌,いや,iya,"detestável, desagradável",Adjetivo,JLPT N5
色々,いろいろ,いろいろ,iroiro,"vários, diversos",Adjetivo,JLPT N5
大変,大変,たいへん,taihen,"sério, imenso",Adjetivo,JLPT N5
大丈夫,大丈夫,だいじょうぶ,daijoubu,tudo bem,Adjetivo,JLPT N5
元気,元気,げんき,genki,"animado, enérgico",Adjetivo,JLPT N5
上手,上手,じょうず,jouzu,hábilidoso,Adjetivo,JLPT N5
下手,下手,へた,heta,ruim (em algo),Adjetivo,JLPT N5
立派,立派,りっぱ,rippa,esplêndido,Adjetivo,JLPT N5
丈夫,丈夫,じょうぶ,joubu,"saudável, resistente",Adjetivo,JLPT N5
大切,大切,たいせつ,taisetsu,"importante, precioso",Adjetivo,JLPT N5
有名,有名,ゆうめい,yuumei,famoso,Adjetivo,JLPT N5
綺麗,きれい,きれい,kirei,bonito,Adjetivo,JLPT N5
便利,便利,べんり,benri,"conveniente, prático",Adjetivo,JLPT N5
賑やか,賑やか,にぎやか,nigiyaka,movimentado,Adjetivo,JLPT N5
静か,静か,しずか,shizuka,"quieto, silencioso",Adjetivo,JLPT N5
大きな,大きな,おおきな,ookina,grande (antes de substantivo),Adjetivo,JLPT N5
小さな,小さな,ちいさな,chiisana,pequeno (antes de substantivo),Adjetivo,JLPT N5
良い,"よい, いい","よい, いい","yoi, ii",bom,Adjetivo-i,JLPT N5
悪い,悪い,わるい,warui,"ruim, mau",Adjetivo-i,JLPT N5
